Size (bp),E2: CFD1601677
989.20,26.04
991.00,26.97
992.80,27.34
994.60,27.00
996.40,25.92
998.20,24.72
1000.00,24.33
1001.00,24.48
1003.46,24.27
1005.91,23.96
1008.37,24.36
1010.83,25.07
1013.28,25.27
1015.74,24.90
1018.20,24.12
1020.65,22.88
1023.11,21.46
1025.57,20.27
1028.02,19.46
1030.48,19.21
1032.94,19.47
1035.40,19.74
1037.85,19.52
1040.31,18.70
1042.77,17.57
1045.22,16.68
1047.68,16.52
1050.14,17.14
1052.59,18.35
1055.05,19.61
1057.51,19.91
1059.96,19.72
1062.42,20.19
1064.88,20.94
1067.33,21.21
1069.79,21.17
1072.25,21.54
1074.70,22.36
1077.16,23.14
1079.62,23.87
1082.07,24.89
1084.53,25.95
1086.99,26.52
1089.44,26.75
1091.90,26.94
1094.36,26.98
1096.81,26.84
1099.27,27.00
1101.73,28.20
1104.19,30.52
1106.64,32.81
1109.10,33.79
1111.56,33.48
1114.01,32.38
1116.47,30.69
1118.93,29.42
1121.38,29.93
1123.84,31.98
1126.30,34.05
1128.75,35.28
1131.21,36.10
1133.67,37.05
1136.12,37.81
1138.58,38.07
1141.04,38.28
1143.49,38.90
1145.95,39.85
1148.41,40.70
1150.86,40.90
1153.32,40.36
1155.78,39.58
1158.23,38.78
1160.69,37.85
1163.15,36.99
1165.60,36.36
1168.06,35.96
1170.52,35.95
1172.98,36.34
1175.43,36.69
1177.89,36.62
1180.35,35.93
1182.80,34.64
1185.26,33.38
1187.72,32.77
1190.17,31.75
1192.63,30.82
1195.09,29.93
1197.54,29.01
1200.00,28.15
1201.00,27.55
1204.88,27.09
1208.77,26.41
1212.65,25.51
1216.53,24.91
1220.42,25.17
1224.30,26.10
1228.18,26.72
1232.06,26.60
1235.95,26.61
1239.83,27.53
1243.71,28.80
1247.60,29.27
1251.48,28.71
1255.36,28.41
1259.25,29.53
1263.13,31.40
1267.01,32.48
1270.90,32.62
1274.78,32.78
1278.66,33.31
1282.55,33.53
1286.43,33.14
1290.31,32.82
1294.19,33.45
1298.08,35.16
1301.96,37.34
1305.84,39.15
1309.73,40.21
1313.61,40.90
1317.49,41.79
1321.38,42.94
1325.26,43.98
1329.14,44.49
1333.03,44.53
1336.91,44.74
1340.79,45.64
1344.68,46.80
1348.56,47.17
1352.44,46.38
1356.32,45.27
1360.21,44.87
1364.09,45.63
1367.97,47.20
1371.86,48.54
1375.74,48.56
1379.62,47.01
1383.51,44.50
1387.39,41.24
1391.27,41.78
1395.16,42.63
1399.04,42.64
1402.92,42.37
1406.81,43.21
1410.69,44.81
1414.57,45.40
1418.45,44.48
1422.34,43.31
1426.22,42.88
1430.10,43.01
1433.99,43.13
1437.87,43.23
1441.75,43.73
1445.64,44.80
1449.52,46.23
1453.40,47.69
1457.29,49.15
1461.17,50.71
1465.05,52.19
1468.94,53.41
1472.82,54.52
1476.70,55.48
1480.58,56.08
1484.47,56.50
1488.35,56.98
1492.23,57.42
1496.12,58.09
1500.00,59.47
1501.00,61.14
1510.78,61.77
1520.57,60.81
1530.35,59.54
1540.14,59.83
1549.92,61.84
1559.71,63.91
1569.49,64.47
1579.27,63.30
1589.06,61.84
1598.84,61.98
1608.63,63.99
1618.41,66.59
1628.20,68.80
1637.98,70.29
1647.76,70.69
1657.55,69.72
1667.33,67.96
1677.12,67.28
1686.90,69.21
1696.69,72.50
1706.47,74.22
1716.25,73.40
1726.04,71.59
1735.82,70.85
1745.61,72.56
1755.39,74.79
1765.18,76.69
1774.96,78.07
1784.75,79.22
1794.53,80.39
1804.31,81.19
1814.10,81.28
1823.88,81.55
1833.67,82.77
1843.45,83.84
1853.24,83.56
1863.02,82.25
1872.80,81.04
1882.59,81.06
1892.37,82.66
1902.16,84.99
1911.94,86.76
1921.73,87.71
1931.51,88.67
1941.29,90.16
1951.08,91.58
1960.86,92.13
1970.65,91.92
1980.43,91.67
1990.22,91.77
2000.00,92.12
2001.00,92.46
2018.53,92.45
2036.05,92.29
2053.58,93.19
2071.11,95.82
2088.63,98.86
2106.16,100.94
2123.68,102.55
2141.21,104.41
2158.74,105.84
2176.26,106.41
2193.79,106.76
2211.32,107.16
2228.84,107.01
2246.37,105.95
2263.89,104.16
2281.42,102.26
2298.95,101.57
2316.47,103.39
2334.00,107.18
2351.53,110.64
2369.05,112.10
2386.58,111.50
2404.11,109.53
2421.63,107.44
2439.16,106.87
2456.68,110.42
2474.21,111.62
2491.74,111.25
2509.26,110.03
2526.79,109.02
2544.32,108.50
2561.84,108.06
2579.37,107.75
2596.89,108.28
2614.42,109.72
2631.95,111.20
2649.47,112.04
2667.00,112.30
2684.53,112.02
2702.05,111.31
2719.58,110.96
2737.11,111.71
2754.63,113.03
2772.16,113.88
2789.68,114.28
2807.21,115.06
2824.74,116.24
2842.26,116.95
2859.79,116.83
2877.32,116.44
2894.84,116.51
2912.37,117.64
2929.89,119.57
2947.42,120.86
2964.95,120.87
2982.47,120.98
3000.00,122.42
3001.00,124.49
3030.12,125.42
3059.23,124.43
3088.35,122.85
3117.47,122.61
3146.58,123.65
3175.70,124.36
3204.82,124.37
3233.93,124.88
3263.05,126.45
3292.17,128.05
3321.28,128.28
3350.40,127.07
3379.51,126.16
3408.63,127.23
3437.75,129.64
3466.86,130.83
3495.98,129.24
3525.10,126.27
3554.21,124.34
3583.33,124.24
3612.45,126.61
3641.56,128.00
3670.68,128.90
3699.80,128.63
3728.91,126.78
3758.03,124.05
3787.15,121.68
3816.26,119.83
3845.38,117.87
3874.50,116.02
3903.61,115.11
3932.73,115.10
3961.84,115.32
3990.96,115.58
4020.08,115.98
4049.19,116.16
4078.31,115.88
4107.43,115.88
4136.54,117.31
4165.66,120.35
4194.78,123.58
4223.89,125.15
4253.01,124.41
4282.13,122.21
4311.24,119.86
4340.36,118.01
4369.48,116.66
4398.59,115.64
4427.71,114.84
4456.83,114.39
4485.94,114.87
4515.06,116.74
4544.17,119.56
4573.29,122.24
4602.41,124.05
4631.52,125.06
4660.64,125.75
4689.76,126.34
4718.87,126.65
4747.99,126.58
4777.11,126.27
4806.22,126.02
4835.34,125.95
4864.46,125.67
4893.57,124.82
4922.69,123.80
4951.81,122.92
4980.92,121.48
5010.04,119.08
5039.16,116.89
5068.27,116.10
5097.39,116.31
5126.50,116.41
5155.62,116.02
5184.74,114.17
5213.85,112.96
5242.97,111.75
5272.09,110.31
5301.20,108.43
5330.32,106.63
5359.44,105.60
5388.55,105.08
5417.67,103.98
5446.79,101.76
5475.90,99.00
5505.02,96.91
5534.14,96.42
5563.25,97.46
5592.37,98.93
5621.49,99.64
5650.60,99.94
5679.72,103.27
5708.83,119.32
5737.95,171.80
5767.07,308.54
5796.18,602.00
5825.30,1122.15
5854.42,1883.23
5883.53,2797.83
5912.65,3675.92
5941.77,4286.39
5970.88,4466.06
6000.00,4204.57
6028.85,3629.36
6057.74,2911.77
6086.63,2190.33
6115.52,1555.03
6144.42,1054.88
6173.31,699.00
6202.20,465.19
6231.10,320.11
6259.99,233.67
6288.88,183.16
6317.77,153.25
6346.67,134.58
6375.56,122.04
6404.45,112.77
6433.35,104.70
6462.24,96.81
6491.13,89.57
6520.02,84.18
6548.92,81.08
6577.81,78.97
6606.70,76.12
6635.60,72.45
6664.49,69.20
6693.38,67.19
6722.27,66.08
6751.17,63.45
6780.06,62.74
6808.95,62.66
6837.85,62.15
6866.74,60.80
6895.63,58.97
6924.52,56.93
6953.42,54.91
6982.31,53.31
7011.20,52.36
7040.10,51.92
7068.99,51.82
7097.88,52.19
7126.77,52.87
7155.67,52.84
7184.56,51.06
7213.45,47.82
7242.35,44.81
7271.24,43.47
7300.13,43.67
7329.02,44.10
7357.92,43.53
7386.81,41.51
7415.70,38.71
7444.59,36.65
7473.49,36.40
7502.38,37.42
7531.27,38.32
7560.17,38.14
7589.06,36.76
7617.95,34.61
7646.84,32.45
7675.74,30.99
7704.63,30.55
7733.52,30.95
7762.42,31.82
7791.31,32.64
7820.20,32.68
7849.09,31.56
7877.99,29.73
7906.88,27.85
7935.77,26.17
7964.67,24.66
7993.56,23.54
8022.45,23.19
8051.34,23.36
8080.24,23.20
8109.13,22.57
8138.02,22.45
8166.92,23.36
8195.81,24.39
8224.70,24.46
8253.59,23.53
8282.49,22.21
8311.38,20.97
8340.27,21.46
8369.17,22.02
8398.06,22.21
8426.95,22.11
8455.84,21.71
8484.74,21.00
8513.63,20.06
8542.52,18.93
8571.42,18.09
8600.31,18.26
8629.20,19.22
8658.09,20.04
8686.99,19.93
8715.88,18.30
8744.77,15.48
8773.67,13.38
8802.56,13.62
8831.45,15.66
8860.34,17.98
8889.24,19.79
8918.13,20.91
8947.02,21.26
8975.92,20.85
9004.81,19.87
9033.70,18.36
9062.59,16.12
9091.49,13.76
9120.38,12.55
9149.27,12.79
9178.17,13.77
9207.06,14.87
9235.95,15.77
9264.84,16.31
9293.74,16.46
9322.63,16.24
9351.52,15.84
9380.41,15.43
9409.31,14.81
9438.20,13.90
9467.09,13.06
9495.99,12.71
9524.88,12.72
9553.77,12.60
9582.66,12.11
9611.56,11.37
9640.45,10.74
9669.34,10.75
9698.24,11.59
9727.13,12.61
9756.02,13.04
9784.91,12.86
9813.81,12.47
9842.70,11.00
9871.59,10.06
9900.49,9.32
9929.38,8.75
9958.27,8.30
9987.16,7.98
10016.06,7.66
10044.95,7.33
10073.84,7.07
10102.74,6.75
10131.63,6.34
10160.52,6.29
10189.41,6.77
10218.31,7.13
10247.20,6.94
10276.09,6.62
10304.99,6.72
10333.88,7.44
10362.77,8.74
10391.66,10.00
10420.56,10.18
10449.45,9.30
10478.34,8.43
10507.24,7.96
10536.13,7.33
10565.02,6.74
10593.91,7.16
10622.81,8.43
10651.70,9.19
10680.59,8.58
10709.48,6.93
10738.38,5.08
10767.27,3.76
10796.16,3.16
10825.06,2.65
10853.95,1.71
10882.84,0.97
10911.73,1.41
10940.63,2.69
10969.52,3.42
10998.41,3.10
11027.31,2.57
11056.20,2.66
11085.09,3.26
11113.98,4.01
11142.88,4.85
11171.77,5.73
11200.66,6.39
11229.56,6.67
11258.45,6.40
11287.34,5.34
11316.23,3.98
11345.13,3.50
11374.02,4.15
11402.91,4.40
11431.81,4.12
11460.70,4.67
11489.59,5.56
11518.48,5.58
11547.38,4.45
11576.27,3.16
11605.16,2.81
11634.06,3.40
11662.95,4.20
11691.84,4.76
11720.73,4.86
11749.63,4.37
11778.52,3.46
11807.41,2.66
11836.30,2.65
11865.20,3.61
11894.09,4.56
11922.98,4.61
11951.88,4.45
11980.77,4.90
12009.66,5.36
12038.55,5.01
12067.45,4.32
12096.34,4.15
12125.23,4.16
12154.13,3.51
12183.02,2.56
12211.91,2.03
12240.80,1.84
12269.70,1.60
12298.59,1.37
12327.48,1.43
12356.38,1.78
12385.27,1.99
12414.16,1.66
12443.05,0.96
12471.95,0.46
12500.84,0.48
12529.73,0.87
12558.63,1.14
12587.52,1.15
12616.41,1.18
12645.30,1.39
12674.20,1.63
12703.09,1.95
12731.98,2.62
12760.88,3.36
12789.77,3.53
12818.66,2.91
12847.55,2.00
12876.45,1.62
12905.34,2.11
12934.23,2.87
12963.12,3.51
12992.02,3.80
13020.91,4.12
13049.80,4.54
13078.70,4.98
13107.59,4.96
13136.48,4.00
13165.37,2.32
13194.27,0.96
13223.16,0.78
13252.05,1.34
13280.95,1.69
13309.84,2.01
13338.73,2.77
13367.62,3.31
13396.52,2.85
13425.41,1.83
13454.30,1.26
13483.20,1.53
13512.09,2.09
13540.98,2.07
13569.87,1.39
13598.77,0.88
13627.66,1.20
13656.55,2.01
13685.45,2.50
13714.34,2.56
13743.23,2.61
13772.12,2.70
13801.02,2.43
13829.91,1.72
13858.80,1.06
13887.70,0.99
13916.59,1.48
13945.48,2.04
13974.37,2.45
14003.27,2.99
14032.16,3.56
14061.05,3.46
14089.95,2.50
14118.84,1.51
14147.73,1.26
14176.62,1.59
14205.52,1.81
14234.41,1.49
14263.30,1.06
14292.20,1.08
14321.09,1.45
14349.98,1.84
14378.87,2.17
14407.77,2.39
14436.66,2.55
14465.55,3.12
14494.45,4.81
14523.34,4.46
14552.23,3.08
14581.12,1.40
14610.02,0.49
14638.91,0.78
14667.80,1.85
14696.70,3.20
14725.59,4.46
14754.48,5.05
14783.37,4.56
14812.27,3.41
14841.16,2.55
14870.05,2.32
14898.95,2.27
14927.84,2.01
14956.73,1.66
14985.62,1.37
15014.52,1.24
15043.41,1.25
15072.30,1.13
15101.20,0.80
15130.09,0.62
15158.98,0.88
15187.87,1.26
15216.77,1.40
15245.66,1.53
15274.55,1.99
15303.44,2.50
15332.34,2.76
15361.23,2.82
15390.12,2.61
15419.02,2.15
15447.91,1.70
15476.80,1.39
15505.69,1.10
15534.59,0.67
15563.48,0.15
15592.37,0.02
15621.27,0.40
15650.16,0.63
15679.05,0.35
15707.94,0.10
15736.84,0.17
15765.73,0.23
15794.62,-0.05
15823.52,-0.54
15852.41,-0.86
15881.30,-0.71
15910.19,-0.15
15939.09,0.42
15967.98,0.46
15996.87,-0.12
16025.77,-0.63
16054.66,0.25
16083.55,0.90
16112.44,1.39
16141.34,1.79
16170.23,2.05
16199.12,1.98
16228.02,1.19
16256.91,-0.36
16285.80,-1.88
16314.69,-2.62
16343.59,-2.69
16372.48,-2.50
16401.37,-2.24
16430.27,-2.03
16459.16,-1.75
16488.05,-1.10
16516.94,0.05
16545.84,1.45
16574.73,2.36
16603.62,2.03
16632.52,0.76
16661.41,-0.36
16690.30,-0.90
16719.19,-1.06
16748.09,-0.79
16776.98,-0.03
16805.87,0.70
16834.77,0.83
16863.66,0.53
16892.55,0.37
16921.44,0.44
16950.34,0.36
16979.23,-0.07
17008.12,-0.61
17037.01,-0.79
17065.91,-0.39
17094.80,0.26
17123.69,0.86
17152.59,1.37
17181.48,1.55
17210.37,1.31
17239.26,1.01
17268.16,0.89
17297.05,0.82
17325.94,0.57
17354.84,0.17
17383.73,-0.02
17412.62,0.11
17441.51,0.27
17470.41,0.21
17499.30,0.06
17528.19,0.15
17557.09,0.34
17585.98,0.21
17614.87,-0.80
17643.76,-0.65
17672.66,0.11
17701.55,0.85
17730.44,1.12
17759.34,1.13
17788.23,1.50
17817.12,2.53
17846.01,3.47
17874.91,3.29
17903.80,2.07
17932.69,0.88
17961.59,0.65
17990.48,1.55
18019.37,2.68
18048.26,2.85
18077.16,2.19
18106.05,1.84
18134.94,1.75
18163.83,1.06
18192.73,0.22
18221.62,0.31
18250.51,0.99
18279.41,1.33
18308.30,1.15
18337.19,0.63
18366.08,-0.11
18394.98,-0.79
18423.87,-1.13
18452.76,-0.95
18481.66,-0.37
18510.55,-0.04
18539.44,-0.26
18568.33,-0.60
18597.23,-0.76
18626.12,-0.94
18655.01,-1.05
18683.91,-0.86
18712.80,-0.40
18741.69,0.16
18770.58,0.65
18799.48,0.93
18828.37,1.16
18857.26,1.84
18886.16,2.83
18915.05,3.04
18943.94,2.00
18972.83,0.73
19001.73,0.23
19030.62,0.38
19059.51,0.70
19088.41,0.99
19117.30,1.09
19146.19,0.69
19175.08,0.85
19203.98,1.49
19232.87,2.46
19261.76,3.33
19290.66,3.51
19319.55,3.12
19348.44,2.73
19377.33,2.43
19406.23,1.83
19435.12,0.92
19464.01,0.07
19492.90,-0.47
19521.80,-0.81
19550.69,-1.11
19579.58,-1.26
19608.48,-1.11
19637.37,-0.86
19666.26,-0.68
19695.15,-0.41
19724.05,-0.05
19752.94,0.02
19781.83,-0.32
19810.73,-0.67
19839.62,-0.57
19868.51,0.19
19897.40,1.37
19926.30,2.16
19955.19,2.00
19984.08,1.48
20012.98,1.41
20041.87,1.59
20070.76,1.29
20099.65,0.28
20128.55,-0.85
20157.44,-1.33
20186.33,-1.04
20215.23,-0.39
20244.12,0.48
20273.01,1.43
20301.90,1.91
20330.80,1.68
20359.69,1.19
20388.58,0.93
20417.48,1.07
20446.37,1.41
20475.26,1.63
20504.15,1.50
20533.05,0.87
20561.94,-0.01
20590.83,-0.50
20619.72,-0.26
20648.62,0.36
20677.51,0.76
20706.40,0.42
20735.30,0.61
20764.19,1.69
20793.08,3.12
20821.97,3.86
20850.87,3.32
20879.76,1.99
20908.65,0.92
20937.55,0.57
20966.44,0.67
20995.33,0.99
21024.22,1.42
21053.12,1.75
21082.01,1.65
21110.90,0.92
21139.80,-0.12
21168.69,-0.89
21197.58,-1.23
21226.47,-1.03
21255.37,-0.16
21284.26,0.90
21313.15,1.59
21342.05,2.05
21370.94,2.34
21399.83,2.31
21428.72,2.07
21457.62,1.56
21486.51,0.54
21515.40,-0.52
21544.30,-0.66
21573.19,0.14
21602.08,0.93
21630.97,1.18
21659.87,1.40
21688.76,1.99
21717.65,2.55
21746.55,2.65
21775.44,2.05
21804.33,0.76
21833.22,-0.45
21862.12,-0.72
21891.01,-0.12
21919.90,0.66
21948.79,0.98
21977.69,0.83
22006.58,0.89
22035.47,1.47
22064.37,1.95
22093.26,1.84
22122.15,1.66
22151.04,1.93
22179.94,2.25
22208.83,2.29
22237.72,2.52
22266.62,3.32
22295.51,2.80
22324.40,2.12
22353.29,2.08
22382.19,2.56
22411.08,2.71
22439.97,2.14
22468.87,1.31
22497.76,0.89
22526.65,1.03
22555.54,1.07
22584.44,0.50
22613.33,-0.37
22642.22,-0.83
22671.12,-0.32
22700.01,0.93
22728.90,1.61
22757.79,1.01
22786.69,0.00
22815.58,0.00
22844.47,0.00
22873.37,0.00
22902.26,0.00
22931.15,0.00
22960.04,0.00
22988.94,0.00
23017.83,0.00
23046.72,0.00
23075.62,0.00
23104.51,0.00
23133.40,0.00
23162.29,0.00
23191.19,0.00
23220.08,0.00
23248.97,0.00
23277.87,0.00
23306.76,0.00
23335.65,0.00
23364.54,0.00
23393.44,0.00
23422.33,0.00
23451.22,0.00
23480.12,0.00
23509.01,0.00
23537.90,0.00
23566.79,0.00
23595.69,0.00
23624.58,0.00
23653.47,0.00
23682.37,0.00
23711.26,0.00
23740.15,0.00
23769.04,0.00
23797.94,0.00
23826.83,0.00
23855.72,0.00
23884.62,0.00
